timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
1246152,362.0,-62.0,8121.0,1036.0,913.0,-1575.0,0.563,0.024,-0.089,0.821
1246164,224.0,22.0,8013.0,405.0,707.0,-892.0,0.57,0.022,-0.082,0.817
1246186,204.0,-694.0,8049.0,11.0,512.0,-404.0,0.574,0.018,-0.079,0.815
1246198,-2.0,-890.0,8081.0,-276.0,228.0,166.0,0.573,0.015,-0.08,0.815
1246220,428.0,-880.0,8251.0,-342.0,223.0,297.0,0.571,0.011,-0.081,0.817
1246232,812.0,-564.0,8285.0,-387.0,227.0,59.0,0.571,0.007,-0.083,0.817
1246254,506.0,-676.0,8275.0,-474.0,404.0,-63.0,0.572,0.002,-0.084,0.816
1246266,298.0,100.0,7935.0,-627.0,757.0,-236.0,0.575,-0.007,-0.085,0.814
1246288,-722.0,-1454.0,7569.0,-707.0,860.0,-677.0,0.581,-0.017,-0.086,0.81
1246300,-886.0,-2094.0,7773.0,-505.0,576.0,-922.0,0.588,-0.024,-0.087,0.804
1246322,-1424.0,-2464.0,7285.0,-346.0,234.0,-888.0,0.595,-0.027,-0.088,0.799
1246344,-1218.0,-962.0,7625.0,36.0,378.0,-844.0,0.601,-0.029,-0.086,0.794
1246356,-714.0,-1802.0,9771.0,293.0,374.0,-817.0,0.608,-0.03,-0.082,0.789
1246378,-1178.0,-1768.0,7745.0,259.0,75.0,-724.0,0.614,-0.029,-0.08,0.785
1246390,-350.0,-1636.0,7853.0,206.0,12.0,-288.0,0.616,-0.028,-0.078,0.783
1246412,-330.0,-1426.0,7653.0,49.0,103.0,50.0,0.616,-0.028,-0.077,0.783
1246424,-124.0,-1474.0,7617.0,27.0,191.0,269.0,0.614,-0.03,-0.076,0.785
1246446,62.0,-1234.0,7855.0,38.0,249.0,282.0,0.613,-0.032,-0.074,0.786
1246458,264.0,-1146.0,7949.0,110.0,358.0,226.0,0.612,-0.034,-0.071,0.787
