timeMs,ax,ay,az,q0,q1,q2,q3,
38972,116,512,9934,0.2274,0.0008,-0.0403,0.9729
38994,152,634,10020,0.227,0.0007,-0.0406,0.973
39016,78,624,10056,0.2269,0.0005,-0.0408,0.973
39028,16,-212,9350,0.2268,0.0008,-0.0409,0.973
39050,148,-118,9684,0.2267,0.0008,-0.0412,0.973
39062,142,-138,9910,0.2267,0.0007,-0.0411,0.973
39084,-60,-98,9718,0.2267,0.0008,-0.041,0.973
39118,162,356,9822,0.2266,0.0009,-0.0409,0.9731
39130,200,482,9882,0.2266,0.0009,-0.0409,0.9731
39152,166,524,9776,0.2266,0.001,-0.0408,0.9731
39186,146,426,9846,0.2267,0.0008,-0.0408,0.973
39208,42,330,9844,0.2267,0.0008,-0.0408,0.9731
39220,16,184,9802,0.2267,0.0008,-0.0409,0.973
39242,130,104,9750,0.2266,0.0008,-0.041,0.9731
39254,200,72,9768,0.2266,0.0008,-0.041,0.9731
39276,44,46,9822,0.2266,0.0008,-0.041,0.9731
39288,38,214,9814,0.2267,0.0008,-0.041,0.973
39310,148,238,9806,0.2267,0.0008,-0.0409,0.973
39322,122,274,9848,0.2268,0.0008,-0.0409,0.973
39344,128,328,9786,0.2268,0.0008,-0.0409,0.973
39356,136,350,9800,0.2268,0.0008,-0.041,0.973
39378,154,344,9732,0.2268,0.0008,-0.041,0.973
39400,64,224,9802,0.2268,0.0007,-0.041,0.973
39412,44,284,9814,0.2268,0.0007,-0.041,0.973
39434,134,204,9824,0.2268,0.0007,-0.041,0.973
39446,150,212,9770,0.2267,0.0007,-0.041,0.973
39468,96,224,9796,0.2267,0.0006,-0.041,0.973
39480,44,142,9656,0.2267,0.0006,-0.0409,0.973
39502,58,198,9806,0.2267,0.0006,-0.0409,0.973
39514,84,278,9798,0.2267,0.0006,-0.0408,0.9731
39536,120,178,9868,0.2265,0.0007,-0.0409,0.9731
39558,126,236,9838,0.2265,0.0007,-0.0409,0.9731
39570,136,222,9860,0.2264,0.0007,-0.0409,0.9731
39592,50,254,9850,0.2264,0.0008,-0.0409,0.9731
39604,80,276,9802,0.2263,0.0008,-0.0409,0.9731
39626,104,260,9758,0.2264,0.0009,-0.0409,0.9731
39660,186,328,9800,0.2263,0.0008,-0.0409,0.9731
39672,80,322,9802,0.2263,0.0008,-0.0408,0.9731
39694,86,302,9896,0.2263,0.0008,-0.0408,0.9731
39706,102,342,9818,0.2262,0.0008,-0.0408,0.9732
39728,-2,362,9602,0.2264,0.001,-0.0409,0.9731
39750,282,86,10050,0.2263,0.001,-0.0416,0.9731
39762,246,-66,10004,0.2263,0.0011,-0.0416,0.9731
39784,-58,118,9830,0.2263,0.0009,-0.0413,0.9731
39796,202,366,9500,0.2261,0.0006,-0.0406,0.9732
39818,492,654,9736,0.226,0.001,-0.0414,0.9732
39830,596,-148,10224,0.2258,0.0012,-0.042,0.9732
39852,348,630,9914,0.2262,0.0014,-0.0413,0.9731
39864,-498,668,9574,0.2263,0.0013,-0.0408,0.9731
39886,314,208,10282,0.2266,0.0008,-0.0406,0.9731
39898,-64,510,9994,0.228,0.0013,-0.0405,0.9728
39920,174,-26,9802,0.2299,0.0013,-0.0402,0.9723
39942,88,146,9906,0.2313,0.0015,-0.0401,0.972
39954,504,210,9848,0.232,0.0017,-0.0401,0.9718
39976,338,318,9646,0.2332,0.0015,-0.0402,0.9715
39988,238,-446,9972,0.2345,0.0016,-0.04,0.9712
40010,-712,316,9928,0.2344,0.0017,-0.0387,0.9713
40022,-192,-12,9820,0.2333,0.003,-0.0374,0.9716
40044,-460,50,9970,0.232,0.0038,-0.0355,0.972
40078,292,128,10162,0.2312,0.0067,-0.0281,0.9724
40100,618,980,9768,0.2312,0.0096,-0.0221,0.9726
40112,612,1326,9938,0.234,0.0145,-0.0172,0.9719
40134,742,530,10362,0.2382,0.0196,-0.0125,0.9709
40146,102,696,9720,0.243,0.0249,-0.0084,0.9696
40168,-44,236,10246,0.247,0.0297,-0.0022,0.9685
40202,34,758,9688,0.2465,0.0357,0.0191,0.9682
40214,182,1694,9352,0.245,0.0412,0.0322,0.968
40236,-18,2560,9124,0.244,0.0481,0.0444,0.9675
40248,208,2356,9660,0.2447,0.0551,0.0557,0.9664
40270,334,2318,9438,0.2475,0.0613,0.0662,0.9646
40292,398,2438,9070,0.2505,0.0671,0.0761,0.9627
40304,516,2184,9392,0.2532,0.0738,0.0859,0.9607
40326,474,2466,9412,0.255,0.082,0.0962,0.9586
40338,472,2868,7494,0.2546,0.0908,0.1071,0.9567
40360,830,2960,9246,0.2541,0.1003,0.1132,0.9552
40372,342,3430,9266,0.254,0.1085,0.1169,0.9539
40394,1410,3478,9016,0.2533,0.1145,0.1184,0.9532
40406,1366,2708,9174,0.2528,0.1178,0.1184,0.9529
40428,962,3240,9728,0.2539,0.1199,0.1187,0.9523
40440,930,4052,9876,0.2572,0.1219,0.1168,0.9514
40462,1746,3990,10904,0.2608,0.1231,0.1127,0.9508
40484,1494,3590,10622,0.2642,0.1223,0.1068,0.9506
40496,1778,3152,10482,0.2668,0.12,0.1007,0.9509
40518,1484,3342,10864,0.2689,0.1155,0.0933,0.9516
40530,1470,2494,10694,0.2682,0.1086,0.0843,0.9534
40552,1054,2500,10358,0.2661,0.1006,0.0742,0.9558
40564,936,2652,11078,0.2641,0.0923,0.0627,0.9579
40586,2020,3056,12718,0.2629,0.0824,0.0491,0.96
40620,872,1700,10668,0.2573,0.0522,0.0182,0.9647
40632,478,896,8886,0.2529,0.0367,0.0033,0.9667
40654,660,1648,8960,0.2484,0.0214,-0.0098,0.9683
40676,-220,1420,8986,0.2436,0.0071,-0.0236,0.9695
40688,4,-404,10588,0.2391,-0.0042,-0.0355,0.9703
40710,0,-1230,11372,0.2363,-0.0146,-0.0424,0.9706
40744,-484,-1400,10074,0.2333,-0.0318,-0.0398,0.971
40756,-278,-770,9948,0.2313,-0.04,-0.034,0.9714
40778,-484,-372,8788,0.229,-0.0479,-0.0268,0.9718
40790,-324,144,8376,0.2266,-0.0553,-0.0177,0.9722
40812,-384,200,9212,0.2243,-0.0635,-0.0097,0.9723
40834,-404,-374,9452,0.2213,-0.0731,-0.0031,0.9724
40846,-488,-342,8848,0.217,-0.0838,0.0053,0.9725
40868,-410,-104,8426,0.211,-0.0959,0.0167,0.9726
40880,-568,-108,8220,0.2038,-0.1098,0.0318,0.9722
40902,-580,460,8234,0.1949,-0.1259,0.0499,0.9713
40914,-626,1086,7008,0.1851,-0.145,0.0709,0.9693
40936,-1166,1830,6418,0.1766,-0.1648,0.0931,0.9658
40948,-1844,2178,6278,0.1705,-0.1833,0.1134,0.9614
40970,-2354,2182,6978,0.1656,-0.2002,0.1323,0.9565
40982,-2132,2422,7720,0.1616,-0.2159,0.1508,0.951
41004,-2458,2842,6418,0.1586,-0.2298,0.1728,0.9445
41026,-2552,3500,6398,0.1549,-0.2422,0.1937,0.9379
41038,-3634,3748,6694,0.1519,-0.2536,0.2115,0.9315
41060,-4164,3542,6778,0.1507,-0.2637,0.2278,0.925
41072,-4288,3308,6574,0.1501,-0.2724,0.2422,0.9189
41094,-4632,4468,6714,0.1496,-0.2805,0.2539,0.9134
41106,-5012,4126,5826,0.15,-0.2872,0.263,0.9087
41128,-5118,4592,6230,0.151,-0.2919,0.2712,0.9046
41162,-5290,5144,6258,0.1543,-0.2951,0.2824,0.8995
41174,-5680,5474,6064,0.1568,-0.294,0.2832,0.8992
41196,-5612,5242,6082,0.1598,-0.2916,0.2801,0.9005
41218,-5436,4984,6288,0.1626,-0.2873,0.2742,0.9032
41230,-4992,4446,6618,0.1661,-0.281,0.2678,0.9064
41252,-5138,4150,7116,0.1702,-0.2731,0.2607,0.9101
